Report Report

item id,item name,quantity,serial number,serial comment,age in days,age in months
2,PS5 SLIM DISC,18,S01E44B01VKK14540869,,28,0.9
,,,S01E45601CE810573040,,56,1.8
,,,S01E45601CE810576101,,56,1.8
,,,S01E45601CE810576162,,56,1.8
,,,S01E45601CE810578011,,56,1.8
,,,S01E45601CE810578019,,56,1.8
,,,S01E45601CE810580025,,56,1.8
,,,S01F44A017RD12407038,,28,0.9
,,,S01F55901DR210315410,,27,0.9
,,,S01K5590179810346251,,28,0.9
,,,S01M45601K1W11165181,,73,2.4
,,,S01M45601K1W11165182,,73,2.4
,,,S01V55601Z1L10504969,,73,2.4
,,,S01V55701Z1L10846630,,73,2.4
,,,S01V55801Z1L11001841,,73,2.4
,,,S01V55801Z1L11081301,,73,2.4
,,,S01V55801Z1L11086045,,73,2.4
,,,S01V55801Z1L11086063,,73,2.4
3,PS5 SLIM DIGITAL,14,S0115405247,,73,2.4
,,,S011558343F,,73,2.4
,,,S01E55901J5310253691,,27,0.9
,,,S01E55901J5310253692,,27,0.9
,,,S01E55901J5310259303,,27,0.9
,,,S01E55901J5310259304,,27,0.9
,,,S01E55A01J5310265193,,27,0.9
,,,S01E55A01J5310265194,,27,0.9
,,,S01V55901UNL11544723,,28,0.9
,,,ps5slimdigital00175,,56,1.8
,,,ps5slimdigital00176,,56,1.8
,,,ps5slimdigital00177,,56,1.8
,,,ps5slimdigital00178,,73,2.4
,,,ps5slimdigital00179,,73,2.4
4,PS5 DUAL SENSE CONTROLLER,1,dualsensewirelesscontroller00051,,28,0.9
9,DJI MINI 4 PRO STANDARD,18,1581F6Z9A248WML30TXY,,73,2.4
,,,1581F6Z9A248WML359Z9,,73,2.4
,,,1581F6Z9A248WML3E8GD,,73,2.4
,,,1581F6Z9A248WML3KK1E,,73,2.4
,,,1581F6Z9A248WML3S898,,73,2.4
,,,1581F6Z9A248WML3X76X,,73,2.4
,,,1581F6Z9A24CPML325EM,,73,2.4
,,,1581F6Z9A24CRML3CZ3H,,73,2.4
,,,1581F6Z9C23AP003DC6C,,73,2.4
,,,1581F6Z9C245N003TEC4,,73,2.4
,,,1581F6Z9C2516003AMFM,,73,2.4
,,,1581F6Z9C2517003AMZ4,,73,2.4
,,,1581F6Z9C2519003AY0G,,73,2.4
,,,1581F6Z9C2519003AYFZ,,73,2.4
,,,1581F6Z9C2542003DDKL,,73,2.4
,,,1581F6Z9C2554003FALV,,73,2.4
,,,1581F6Z9C2557003FN58,,73,2.4
,,,1581F6Z9C2557003FNTS,,73,2.4
11,DJI MINI 4 PRO 34 MINS,4,1581F6Z9C251C003BCNG,,73,2.4
,,,1581F6Z9C251D003BN7E,,73,2.4
,,,1581F6Z9C254C003E003,,73,2.4
,,,1581F6Z9C254F003E8PX,,73,2.4
14,DJI MIC 3,3,8PBWN8K0069TGQ,,73,2.4
,,,8PBWN8L006A05Z,,73,2.4
,,,8PBWN8M006A8XU,,73,2.4
21,NINJA SLUSHI,7,ninjaslushi0001,,73,2.4
,,,ninjaslushi0002,,73,2.4
,,,ninjaslushi0003,,73,2.4
,,,ninjaslushi0004,,73,2.4
,,,ninjaslushi0005,,73,2.4
,,,ninjaslushi0006,,73,2.4
,,,ninjaslushi0007,,73,2.4
23,NINJA PORTABLE BLENDER,10,ninjaportableblender0001,,73,2.4
,,,ninjaportableblender0002,,73,2.4
,,,ninjaportableblender0003,,73,2.4
,,,ninjaportableblender0004,,73,2.4
,,,ninjaportableblender0005,,73,2.4
,,,ninjaportableblender0006,,73,2.4
,,,ninjaportableblender0007,,73,2.4
,,,ninjaportableblender0008,,73,2.4
,,,ninjaportableblender0009,,73,2.4
,,,ninjaportableblender0010,,73,2.4
24,STARLINK HP,1,starlinkhp00002,,73,2.4
25,META QUEST 3S,1,metaquest3s001,,73,2.4
29,PS5 CD DISCS,59,cddragonage030,,74,2.4
,,,cddragonage031,,74,2.4
,,,cddragonage032,,74,2.4
,,,cddragonage033,,74,2.4
,,,cddragonage034,,74,2.4
,,,cddragonage035,,74,2.4
,,,cddragonage036,,74,2.4
,,,cddragonage037,,74,2.4
,,,cddragonage038,,74,2.4
,,,cddragonage039,,74,2.4
,,,cddragonage040,,74,2.4
,,,cddragonage041,,74,2.4
,,,cddragonage042,,74,2.4
,,,cddragonage043,,74,2.4
,,,cddragonage044,,74,2.4
,,,cddragonage045,,74,2.4
,,,cddragonage046,,74,2.4
,,,cddragonage047,,74,2.4
,,,cddragonage048,,74,2.4
,,,cddragonage049,,74,2.4
,,,cddragonage050,,74,2.4
,,,cddragonage051,,74,2.4
,,,cddragonage052,,74,2.4
,,,cddragonage053,,74,2.4
,,,cddragonage054,,74,2.4
,,,cddragonage055,,74,2.4
,,,cddragonage056,,74,2.4
,,,cddragonage057,,74,2.4
,,,cddragonage058,,74,2.4
,,,cddragonage059,,74,2.4
,,,cddragonage060,,74,2.4
,,,cddragonage061,,74,2.4
,,,cddragonage062,,74,2.4
,,,cddragonage063,,74,2.4
