Stock Tacking,,,,,,,
,,,,,,,
item id,item name,category,brand,quantity in stock,Dubhai Office Stock,OK Stock,
73,"ACER ASPIRE 7 A715-59G-58A8 16 GB, 512 GB",Laptop,Acer,10,10,0,
41,AIRPODS 4,Airpods,Apple,6,5,-1,
43,AIRPODS 4 (ANC),Airpods,Apple,6,7,1,
200,AIRPODS MAX,Haedphones,Apple,1,,-1,
42,AIRPODS PRO 3,Airpods,Apple,16,16,0,
180,APPLE IPAD MAGIC KEYBOARD 13,,,1,1,0,
93,APPLE WATCH SE 2 40MM,Watch,Apple,3,2,-1,
92,APPLE WATCH SE 2 44MM,Watch,Apple,1,1,0,
105,APPLE WATCH SE 3 44MM,Watch,Apple,3,3,0,
91,APPLE WATCH SERIES 10 46MM,Watch,Apple,1,1,0,
90,APPLE WATCH SERIES 11 42MM,Watch,Apple,4,4,0,
104,APPLE WATCH SERIES 11 46MM,Watch,Apple,5,5,0,
89,APPLE WATCH ULTRA 2 49MM,Watch,Apple,5,4,-1,
152,APPLE WATCH ULTRA 3 49MM,Watch,Apple,5,,-5,
116,ASTRO BOT GAME CD,CD,BlueRayy,1,,-1,
33,BEATS PILL SPEAKER,Speaker,Beats,2,2,0,
34,BEATS POWERBEATS PRO BUDS,Buds,Beats,2,,-2,
113,BLINK OUTDOOR 4,,,1,,-1,
123,BRAUN 9 IN 1,Trimmer,Braun,1,,-1,
121,BRAUN ALL IN ONE TRIMMER 5,Trimmer,Braun,3,3,0,
120,BRAUN ALL IN ONE TRIMMER 7,Trimmer,Braun,1,1,0,
122,BRAUN IPL 5137,Trimmer,Braun,8,,-8,
119,BRAUN SHAVER 6,Trimmer,Braun,4,4,0,
118,BRAUN SILK EPILATOR 7,Eye Trimmer,Braun,3,3,0,
117,BRAUN SILK EPILATOR 9,Eye Trimmer,Braun,4,4,0,
74,CANON IXUS 285 HA,Camera,Canon,12,12,0,
18,CANON SX 740 HS,Camera,Canon,12,12,0,
32,CYBERPOWER PC SERIES C,PC,CyberPower,2,2,0,
7,DJI MAVIC 4 PRO CREATOR COMBO,Drone,DJI,2,,-2,
131,DJI MAVIC 4 PRO STANDARD,Drone,DJI,5,5,0,
14,DJI MIC 3,Mic,DJI,3,,-3,
11,DJI MINI 4 PRO 34 MINS,Drone,DJI,6,6,0,
9,DJI MINI 4 PRO STANDARD,Drone,DJI,18,18,0,
162,DUAL SENSE EDGE WIRELESS CONTROLLER,Gaming Controller,Sony,4,7,3,
115,GALAXY S23 ULTRA 256 GB,Mobile Phone,Samsung,1,,-1,
160,GALAXY S25 ULTRA 256 GB,Mobile Phone,Samsung,2,,-2,
153,GALAXY Z FLIP 7 256 GB,Mobile Phone,Samsung,3,,-3,
38,GARMIN VIVOACTIVE 5 WATCH,Watch,Garmin,1,1,0,
133,GOOGLE PIXEL 7,Mobile Phone,Google,1,1,0,
46,GOOGLE PIXEL BUDS 2A,Buds,Google,2,2,0,
50,GOOGLE PIXEL FOLD 256 GB,Mobile Phone,Google,1,,-1,
51,GOOGLE PIXEL FOLD 512 GB,Mobile Phone,Google,1,,-1,
52,GOOGLE PIXEL WATCH 4,Watch,Google,1,1,0,
129,Galaxy Tab S10 FE,,,2,1,-1,
130,Galaxy Watch Ultra,,,2,2,0,
195,HOME POD,Speaker,Apple,1,1,0,
198,"IMAC M4 24 16 GB, 256 GB",,Apple,1,1,0,
182,INSTAX MINI 12,Electronics,instax,10,,-10,
19,INSTAX MINI EVO,Camera,Instax,199,,-199,
125,INSTAX WIDE 400,Camera,Instax,10,,-10,
192,IPAD A16 (W) 256 GB,iPad,Apple,4,4,0,
197,IPAD A16 (W+C) 256 GB,iPad,Apple,1,1,0,
63,IPAD A16 (W+C)128 GB,Ipad,Apple,4,4,0,
167,IPAD AIR M3 11 (W) 128 GB,Ipad,Apple,2,2,0,
189,IPAD AIR M3 11 (W) 256 GB,,,1,1,0,
201,IPAD AIR M3 11 (W+C) 128 GB,iPad,Apple,1,5,4,
146,IPAD AIR M3 13 (W) 128 GB,Ipad,Apple,2,2,0,
191,IPAD AIR M3 13 (W) 256 GB,iPad,Apple,1,1,0,
175,IPAD AIR M3 13 (W) 512GB,Electronics,Apple,1,1,0,
176,IPAD AIR M3 13 (W+C) 128GB,Electronics,Apple,10,7,-3,
184,IPAD PRO M1 (W) 128GB,,,1,1,0,
178,IPAD PRO M3 13 (W) 256GB,,,1,,-1,
190,IPAD PRO M4 11 (W) 256 GB,iPad,Apple,1,1,0,
65,IPAD PRO M4 13 (W) 256 GB,Ipad,Apple,1,1,0,
64,IPAD PRO M4 13 (W+C) 2 TB,Ipad,Apple,1,1,0,
88,IPAD PRO M4 13 (W+C) 256 GB,Mobile Phone,Apple,3,3,0,
66,IPAD PRO M5 11 (W+C) 256 GB,Ipad,Apple,7,7,0,
101,IPAD PRO M5 13 (W) 1 TB,Ipad,Apple,1,,-1,
173,IPAD PRO M5 13 (W) 256 GB,Electronics,Apple,6,3,-3,
67,IPAD PRO M5 13 (W+C) 256 GB,Ipad,Apple,18,21,3,4
183,IPAD PRO M5 13 (W+C) 2TB,,,1,1,0,
194,IPAD PRO M5 13 (W+C) 512 GB,iPad,Apple,1,1,0,
136,IPHONE 11 PRO MAX 256,Mobile Phone,Apple,2,3,1,
144,IPHONE 13 128 GB,Mobile Phone,Apple,1,1,0,
87,IPHONE 13 PRO MAX 128 GB,Mobile Phone,Apple,1,1,0,
127,IPHONE 13 PRO MAX 512 GB,Mobile Phone,Apple,1,1,0,
86,IPHONE 14 PRO MAX 128 GB,Mobile Phone,Apple,2,2,0,
143,IPHONE 14 PRO MAX 256 GB,Mobile Phone,Apple,1,1,0,
138,IPHONE 15 128 GB,Mobile Phone,Apple,11,11,0,
85,IPHONE 15 PLUS 128 GB,Mobile Phone,Apple,1,1,0,
83,IPHONE 15 PRO 128 GB,Mobile Phone,Apple,1,1,0,
84,IPHONE 15 PRO 512 GB,Mobile Phone,Apple,1,1,0,
82,IPHONE 15 PRO MAX 256 GB,Mobile Phone,Apple,5,5,0,
103,IPHONE 16 128 GB,Mobile Phone,Apple,4,1,-3,
141,IPHONE 16 256 GB,Mobile Phone,Apple,1,2,1,
81,IPHONE 16 PRO 128 GB,Mobile Phone,Apple,1,1,0,
80,IPHONE 16 PRO 256 GB,Mobile Phone,Apple,1,1,0,
140,IPHONE 16 PRO MAX 1 TB,Mobile Phone,Apple,1,1,0,
79,IPHONE 16 PRO MAX 256 GB,Mobile Phone,Apple,24,23,-1,
169,IPHONE 16 PRO MAX 512 GB,Mobile Phone,Apple,3,3,0,
142,IPHONE 16E 128 GB,Mobile Phone,Apple,8,5,-3,
102,IPHONE 17 256 GB,Mobile Phone,Apple,16,9,-7,
78,IPHONE 17 512 GB,Mobile Phone,Apple,1,1,0,
77,IPHONE 17 AIR 256 GB,Mobile Phone,Apple,13,12,-1,
76,IPHONE 17 PRO 1 TB,Mobile Phone,Apple,1,1,0,
70,IPHONE 17 PRO 256 GB,Mobile Phone,Apple,18,6,-12,
139,IPHONE 17 PRO MAX 1 TB,Mobile Phone,Apple,5,2,-3,
68,IPHONE 17 PRO MAX 256 GB,Mobile Phone,Apple,90,42,-48,
75,IPHONE 17 PRO MAX 512 GB,Mobile Phone,Apple,9,8,-1,
185,IPHONE AIR 1TB,Mobile Phone,Apple,1,1,0,
145,IPHONE SE 128 GB,Mobile Phone,Apple,1,1,0,
71,JBL CHARGE 6,Speaker,JBL,31,31,0,
111,LENOVO THINK VISION E24-40 LCD MONITOR,LCD Monitor,Lenovo,1,1,0,
56,"MACBOOK AIR M4 13 16 GB, 256 GB",MacBook,Apple,1,1,0,
99,"MACBOOK AIR M4 13 16 GB, 512 GB",MacBook,Apple,1,1,0,
163,"MACBOOK AIR M4 15 16 GB, 512 GB",MacBook,Apple,4,3,-1,
186,"MACBOOK AIR M4 15 24GB, 512 GB",MacBook,Apple,3,3,0,
98,"MACBOOK PRO M4 14 16 GB, 1 TB",MacBook,Apple,1,,-1,
151,"MACBOOK PRO M4 PRO 14 24 GB, 512 GB",MacBook,Apple,1,1,0,
193,"MACBOOK PRO M4 PRO 16 48 GB, 512 GB",MacBook,Apple,2,2,0,
150,"MACBOOK PRO M5 14 24 GB, 1 TB",MacBook,Apple,1,1,0,
40,META QUEST 3 512 GB,VR,Meta,16,16,0,
25,META QUEST 3S,VR,Meta,2,1,-1,
170,META VANGUARD,Smart Glasses,Meta,3,3,0,
156,META WAYFARER,Smart Glasses,Meta,1,2,1,
49,MOTOROLLA EDGE 5G 2025,Mobile Phone,Motorola,1,1,0,
47,MOTOROLLA G (5G),Mobile Phone,Motorola,1,1,0,
48,MOTOROLLA G STYLUS 5G,Mobile Phone,Motorola,1,1,0,
22,NINJA CREAMI,Electronics Machine,Ninja,1,1,0,
23,NINJA PORTABLE BLENDER,Electronics Blender,Ninja,10,10,0,
21,NINJA SLUSHI,Electronics Machine,Ninja,7,7,0,
30,NINTENDO SWITCH 2,Gaming Console,Nintendo,6,,-6,
16,NINTENDO SWITCH 2 MARIOKART,Gaming Console,Nintendo,1,,-1,
31,NINTENDO SWITCH REGULAR,Gaming Console,Nintendo,2,,-2,
108,ONN RE-USABLE CAMERA WITH FLASH,Camera,Onn,1,1,0,
107,ONN SINGLE USE CAMERA WITH FLASH,Camera,Onn,10,11,1,
110,POKEMON CARD,,,1,1,0,
114,PRESTO ELECTRIC KETTLE,Electric Kettle,Presto,1,,-1,
29,PS5 CD DISCS,Game CD,Sony,59,59,0,
4,PS5 DUAL SENSE CONTROLLER,Gaming Controller,Sony,3,,-3,
27,PS5 PRO,Gaming Console,Sony,3,3,0,
3,PS5 SLIM DIGITAL,Gaming Console,Sony,14,9,-5,
2,PS5 SLIM DISC,Gaming Console,Sony,31,31,0,
124,SAMSUNG GALAXY S25 ULTRA 512,Mobile Phone,Samsung,1,,-1,
94,SKYLINE V2 POUCH 3,,Skyline,6,5,-1,
24,STARLINK HP,Wifi Router,Starlink,2,2,0,
1,STARLINK V4,Wifi Router,Starlink,2,1,-1,
,"iPad Air M3 11"" (W+C) 128 ",,,4,,-4,
,"MacBook Pro M4 Pro 16"" MX2X3LL/A 24 GB, 512 GB",Space Black,,1,1,0,
,Apple Watch SE 3 40mm,Midnight,,1,1,0,
,iPhone 16 Plus 128,Black,,2,2,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,AIRPODS 4,,,,,,
,AIRPODS MAX,,,,,,
,APPLE WATCH SE 2 40MM,,,,,,
,APPLE WATCH ULTRA 2 49MM,,,,,,
,APPLE WATCH ULTRA 3 49MM,,,,,,
,ASTRO BOT GAME CD,,,,,,
,BEATS POWERBEATS PRO BUDS,,,,,,
,BLINK OUTDOOR 4,,,,,,
,BRAUN 9 IN 1,,,,,,
,BRAUN IPL 5137,,,,,,
,DJI MAVIC 4 PRO CREATOR COMBO,,,,,,
,DJI MIC 3,,,,,,
,GALAXY S23 ULTRA 256 GB,,,,,,
,GALAXY S25 ULTRA 256 GB,,,,,,
,GALAXY Z FLIP 7 256 GB,,,,,,
,GOOGLE PIXEL FOLD 256 GB,,,,,,
,GOOGLE PIXEL FOLD 512 GB,,,,,,
,Galaxy Tab S10 FE,,,,,,
,INSTAX MINI 12,,,,,,
,INSTAX MINI EVO,,,,,,
,INSTAX WIDE 400,,,,,,
,IPAD AIR M3 11 (W+C) 128 GB,,,,,,
,IPAD AIR M3 13 (W+C) 128GB,,,,,,
,IPAD PRO M3 13 (W) 256GB,,,,,,
,IPAD PRO M5 13 (W) 1 TB,,,,,,
,IPHONE 16 128 GB,,,,,,
,IPHONE 16 PRO MAX 256 GB,,,,,,
,IPHONE 16E 128 GB,,,,,,
,IPHONE 17 256 GB,,,,,,
,IPHONE 17 AIR 256 GB,,,,,,
,IPHONE 17 PRO 256 GB,,,,,,
,IPHONE 17 PRO MAX 1 TB,,,,,,
,IPHONE 17 PRO MAX 256 GB,,,,,,
,IPHONE 17 PRO MAX 512 GB,,,,,,
,"MACBOOK AIR M4 15 16 GB, 512 GB",,,,,,
,"MACBOOK PRO M4 14 16 GB, 1 TB",,,,,,
,META QUEST 3S,,,,,,
,NINTENDO SWITCH 2,,,,,,
,NINTENDO SWITCH 2 MARIOKART,,,,,,
,NINTENDO SWITCH REGULAR,,,,,,
,PRESTO ELECTRIC KETTLE,,,,,,
,PS5 DUAL SENSE CONTROLLER,,,,,,
,PS5 SLIM DIGITAL,,,,,,
,SAMSUNG GALAXY S25 ULTRA 512,,,,,,
,SKYLINE V2 POUCH 3,,,,,,
,STARLINK V4,,,,,,
