Report Report,,,,,,,,
,,,,,,,,
item id,item name,category,brand,quantity in stock,Physically in Dxb,Physically in Khi,Difference,
73,"ACER ASPIRE 7 A715-59G-58A8 16 GB, 512 GB",Laptop,Acer,10,10,,0,
41,AIRPODS 4,Airpods,Apple,4,3,,1,
43,AIRPODS 4 (ANC),Airpods,Apple,0,,,0,
200,AIRPODS MAX,Haedphones,Apple,1,,,1,hazarto
171,AIRPODS PRO 2,Airpods,Apple,0,,,0,
42,AIRPODS PRO 3,Airpods,Apple,6,6,,0,
180,APPLE IPAD MAGIC KEYBOARD 13,,,1,1,,0,
44,APPLE IPAD PRO MAGIC KEYBOARD 11,Keyboard,Apple,0,,,0,
45,APPLE PENCIL USB-C,Pencil,Apple,0,,,0,
93,APPLE WATCH SE 2 40MM,Watch,Apple,3,1,1,1,
92,APPLE WATCH SE 2 44MM,Watch,Apple,1,1,,0,
106,APPLE WATCH SE 3 40MM,Watch,Apple,1,1,,0,
105,APPLE WATCH SE 3 44MM,Watch,Apple,3,3,,0,
91,APPLE WATCH SERIES 10 46MM,Watch,Apple,1,1,,0,
90,APPLE WATCH SERIES 11 42MM,Watch,Apple,4,3,1,0,
104,APPLE WATCH SERIES 11 46MM,Watch,Apple,5,5,,0,
89,APPLE WATCH ULTRA 2 49MM,Watch,Apple,5,4,1,0,
152,APPLE WATCH ULTRA 3 49MM,Watch,Apple,5,,,5,
116,ASTRO BOT GAME CD,CD,BlueRayy,1,,,1,
33,BEATS PILL SPEAKER,Speaker,Beats,2,2,,0,
34,BEATS POWERBEATS PRO BUDS,Buds,Beats,2,,,2,
113,BLINK OUTDOOR 4,,,1,,,1,
35,BOSE QUIETCOMFORT ULTRA HEADPHONES 2,Headphones,Bose,0,,,0,
36,BOSE SOUNDLINK MICRO SPEAKER,Speaker,Bose,0,,,0,
123,BRAUN 9 IN 1,Trimmer,Braun,1,,,1,
121,BRAUN ALL IN ONE TRIMMER 5,Trimmer,Braun,3,3,,0,
120,BRAUN ALL IN ONE TRIMMER 7,Trimmer,Braun,1,1,,0,
122,BRAUN IPL 5137,Trimmer,Braun,8,7,,1,
119,BRAUN SHAVER 6,Trimmer,Braun,4,4,,0,
118,BRAUN SILK EPILATOR 7,Eye Trimmer,Braun,3,3,,0,
117,BRAUN SILK EPILATOR 9,Eye Trimmer,Braun,4,4,,0,
17,CANON G7X MARK III,Camera,Canon,0,,,0,
74,CANON IXUS 285 HA,Camera,Canon,12,12,,0,
18,CANON SX 740 HS,Camera,Canon,12,12,,0,
32,CYBERPOWER PC SERIES C,PC,CyberPower,2,2,,0,
181,DCS,,Apple,0,,,0,
7,DJI MAVIC 4 PRO CREATOR COMBO,Drone,DJI,0,,,0,
8,DJI MAVIC 4 PRO FLY MORE COMBO,Drone,DJI,0,,,0,
131,DJI MAVIC 4 PRO STANDARD,Drone,DJI,5,5,,0,
14,DJI MIC 3,Mic,DJI,3,,,3,
15,DJI MIC MINI,Mic,DJI,0,,,0,
11,DJI MINI 4 PRO 34 MINS,Drone,DJI,6,6,,0,
10,DJI MINI 4 PRO 45 MINS,Drone,DJI,0,,,0,
9,DJI MINI 4 PRO STANDARD,Drone,DJI,18,18,,0,
12,DJI MINI 4K FLY MORE COMBO,Drone,DJI,0,,,0,
6,DJI MINI 5 PRO FLY MORE COMBO 52 MINS,Drone,DJI,0,,,0,
13,DJI OSMO POCKET 3,Camera,DJI,0,,,0,
161,DJI OSMO POCKET 3 CREATOR COMBO,Camera,DJI,0,,,0,
162,DUAL SENSE EDGE WIRELESS CONTROLLER,Gaming Controller,Sony,4,4,,0,
199,DUAL SENSE WIRELESS CONTROLLER,,,0,,,0,
115,GALAXY S23 ULTRA 256 GB,Mobile Phone,Samsung,1,1,,0,
160,GALAXY S25 ULTRA 256 GB,Mobile Phone,Samsung,2,,,2,
187,GALAXY S25 ULTRA 512 GB,Mobile Phone,Samsung,0,,,0,
95,GALAXY TAB S10 FE,Tab,Samsung,0,1,,-1,
174,GALAXY TAB S10+ (5G),Tab,Samsung,0,,,0,
96,GALAXY WATCH ULTRA,Watch,Samsung,0,2,,-2,
153,GALAXY Z FLIP 7 256 GB,Mobile Phone,Samsung,3,,,3,
188,GALAXY Z FOLD 7 256 GB,Mobile Phone,Samsung,0,,,0,
38,GARMIN VIVOACTIVE 5 WATCH,Watch,Garmin,1,1,,0,
37,GO PRO 13,Camera,GoPro,0,,,0,
112,GO PRO FLOATY HERO,Camera,GoPro,0,,,0,
133,GOOGLE PIXEL 7,Mobile Phone,Google,1,,1,0,
46,GOOGLE PIXEL BUDS 2A,Buds,Google,2,2,,0,
50,GOOGLE PIXEL FOLD 256 GB,Mobile Phone,Google,1,,,1,
51,GOOGLE PIXEL FOLD 512 GB,Mobile Phone,Google,1,,,1,
52,GOOGLE PIXEL WATCH 4,Watch,Google,1,1,,0,
129,Galaxy Tab S10 FE,,,2,,,2,
130,Galaxy Watch Ultra,,,2,,,2,
195,HOME POD,Speaker,Apple,0,,,0,
198,"IMAC M4 24 16 GB, 256 GB",,Apple,1,1,,0,
20,INSTAX FILM 20 PACK,Camera film,Instax,0,,,0,
182,INSTAX MINI 12,Electronics,instax,10,,,10,
19,INSTAX MINI EVO,Camera,Instax,184,194,,-10,
109,INSTAX MINI LIPLAY,Camera,Instax,0,,,0,
125,INSTAX WIDE 400,Camera,Instax,0,,,0,
128,IPAD A16 (W) 128 GB,,,0,,,0,
192,IPAD A16 (W) 256 GB,iPad,Apple,0,,,0,
197,IPAD A16 (W+C) 256 GB,iPad,Apple,0,,,0,
63,IPAD A16 (W+C)128 GB,Ipad,Apple,1,1,,0,
167,IPAD AIR M3 11 (W) 128 GB,Ipad,Apple,0,,,0,
189,IPAD AIR M3 11 (W) 256 GB,,,0,,,0,
201,IPAD AIR M3 11 (W+C) 128 GB,iPad,Apple,6,5,,1,
146,IPAD AIR M3 13 (W) 128 GB,Ipad,Apple,0,,,0,
191,IPAD AIR M3 13 (W) 256 GB,iPad,Apple,0,,,0,
175,IPAD AIR M3 13 (W) 512GB,Electronics,Apple,1,1,,0,
176,IPAD AIR M3 13 (W+C) 128GB,Electronics,Apple,3,,,3,
148,IPAD MINI A17 PRO (W) 256 GB,Ipad,Apple,0,,,0,
147,IPAD MINI A17 PRO (W+C) 128 GB,Ipad,Apple,0,,,0,
184,IPAD PRO M1 (W) 128GB,,,1,1,,0,
179,"IPAD PRO M1 13"" (W) 256GB",,,0,,,0,
177,IPAD PRO M3 13 (W),,,0,,,0,
178,IPAD PRO M3 13 (W) 256GB,,,1,,,1,
190,IPAD PRO M4 11 (W) 256 GB,iPad,Apple,0,,,0,
65,IPAD PRO M4 13 (W) 256 GB,Ipad,Apple,1,1,,0,
64,IPAD PRO M4 13 (W+C) 2 TB,Ipad,Apple,0,,,0,
88,IPAD PRO M4 13 (W+C) 256 GB,Mobile Phone,Apple,3,3,,0,
66,IPAD PRO M5 11 (W+C) 256 GB,Ipad,Apple,0,,,0,
101,IPAD PRO M5 13 (W) 1 TB,Ipad,Apple,1,1,,0,
173,IPAD PRO M5 13 (W) 256 GB,Electronics,Apple,0,,,0,
168,IPAD PRO M5 13 (W) 512 GB,Ipad,Apple,0,,,0,
67,IPAD PRO M5 13 (W+C) 256 GB,Ipad,Apple,2,4,,-2,
183,IPAD PRO M5 13 (W+C) 2TB,,,0,,,0,
194,IPAD PRO M5 13 (W+C) 512 GB,iPad,Apple,0,,,0,
135,IPHONE 11 PRO 256,Mobile Phone,Apple,0,,,0,
136,IPHONE 11 PRO MAX 256,Mobile Phone,Apple,2,1,2,-1,
144,IPHONE 13 128 GB,Mobile Phone,Apple,1,,1,0,
87,IPHONE 13 PRO MAX 128 GB,Mobile Phone,Apple,1,,1,0,
134,IPHONE 13 PRO MAX 256 GB,Mobile Phone,Apple,0,,,0,
127,IPHONE 13 PRO MAX 512 GB,Mobile Phone,Apple,1,1,,0,
86,IPHONE 14 PRO MAX 128 GB,Mobile Phone,Apple,2,2,,0,
143,IPHONE 14 PRO MAX 256 GB,Mobile Phone,Apple,1,,1,0,
138,IPHONE 15 128 GB,Mobile Phone,Apple,2,1,1,0,
85,IPHONE 15 PLUS 128 GB,Mobile Phone,Apple,1,1,,0,
83,IPHONE 15 PRO 128 GB,Mobile Phone,Apple,1,1,,0,
84,IPHONE 15 PRO 512 GB,Mobile Phone,Apple,1,1,,0,
82,IPHONE 15 PRO MAX 256 GB,Mobile Phone,Apple,5,3,2,0,
103,IPHONE 16 128 GB,Mobile Phone,Apple,2,1,1,0,
141,IPHONE 16 256 GB,Mobile Phone,Apple,1,,1,0,
132,IPHONE 16 PLUS 128 GB,Mobile Phone,Apple,2,2,,0,
81,IPHONE 16 PRO 128 GB,Mobile Phone,Apple,1,,1,0,
80,IPHONE 16 PRO 256 GB,Mobile Phone,Apple,1,,1,0,
137,IPHONE 16 PRO 512 GB,,,0,,,0,
140,IPHONE 16 PRO MAX 1 TB,Mobile Phone,Apple,1,1,,0,
79,IPHONE 16 PRO MAX 256 GB,Mobile Phone,Apple,24,20,4,0,
169,IPHONE 16 PRO MAX 512 GB,Mobile Phone,Apple,3,2,1,0,
142,IPHONE 16E 128 GB,Mobile Phone,Apple,1,,1,0,
102,IPHONE 17 256 GB,Mobile Phone,Apple,10,7,2,1,
78,IPHONE 17 512 GB,Mobile Phone,Apple,1,1,,0,
77,IPHONE 17 AIR 256 GB,Mobile Phone,Apple,3,,2,1,
76,IPHONE 17 PRO 1 TB,Mobile Phone,Apple,1,1,,0,
70,IPHONE 17 PRO 256 GB,Mobile Phone,Apple,17,4,4,9,
159,IPHONE 17 PRO 512 GB,Mobile Phone,,0,,,0,
139,IPHONE 17 PRO MAX 1 TB,Mobile Phone,Apple,2,2,,0,
69,IPHONE 17 PRO MAX 2 TB,Mobile Phone,Apple,0,,,0,
68,IPHONE 17 PRO MAX 256 GB,Mobile Phone,Apple,61,29,7,25,
75,IPHONE 17 PRO MAX 512 GB,Mobile Phone,Apple,7,6,2,-1,
185,IPHONE AIR 1TB,Mobile Phone,Apple,1,,1,0,
145,IPHONE SE 128 GB,Mobile Phone,Apple,1,1,,0,
71,JBL CHARGE 6,Speaker,JBL,0,,,0,
72,JBL FLIP 7,Speaker,JBL,0,,,0,
111,LENOVO THINK VISION E24-40 LCD MONITOR,LCD Monitor,Lenovo,1,1,,0,
60,"MACBOOK AIR M1 13 8 GB, 512 GB",MacBook,Apple,0,,,0,
59,"MACBOOK AIR M2 13 16 GB, 256 GB",MacBook,Apple,0,,,0,
62,"MACBOOK AIR M2 13 8 GB, 256 GB",MacBook,Apple,0,,,0,
126,"MACBOOK AIR M3 15 24 GB, 512 GB",MacBook,Apple,0,,,0,
